,movie_id,user_id,user_rating,user_gender,user_zip_code,user_occupation_text,bucketized_user_age
0,357,138,4.0,1,53211,doctor,45.0
1,709,92,2.0,1,80525,entertainment,25.0
2,412,301,4.0,1,55439,student,18.0
3,56,60,4.0,1,06472,healthcare,50.0
4,895,197,3.0,1,75094,technician,50.0
5,325,601,4.0,0,99687,artist,18.0
6,95,710,3.0,1,92020,student,18.0
7,92,833,2.0,1,90019,writer,25.0
8,425,916,5.0,1,N2L5N,engineer,25.0
9,271,940,2.0,1,02215,administrator,25.0
10,355,611,1.0,1,77008,librarian,45.0
11,712,707,3.0,0,19146,librarian,56.0
12,825,699,3.0,1,96754,other,35.0
13,240,16,4.0,1,10309,entertainment,18.0
14,1150,314,4.0,0,08043,student,18.0
15,684,217,5.0,1,11727,other,18.0
16,124,276,5.0,1,95064,student,18.0
17,294,510,3.0,1,98038,other,25.0
18,265,757,3.0,1,55104,student,25.0
19,465,881,3.0,1,43017,marketing,35.0
20,823,880,3.0,1,83702,student,1.0
21,243,797,2.0,0,62522,other,35.0
22,392,188,5.0,1,29440,student,35.0
23,202,246,3.0,1,28734,student,18.0
24,433,445,2.0,1,92653,writer,18.0
25,182,91,4.0,1,01913,marketing,50.0
26,56,372,4.0,0,66046,student,25.0
27,116,891,3.0,0,03062,administrator,50.0
28,285,71,3.0,1,98034,scientist,35.0
29,638,279,4.0,1,85251,programmer,25.0
30,309,688,5.0,0,60476,administrator,35.0
31,491,59,4.0,1,08403,educator,45.0
32,117,56,5.0,1,46260,librarian,25.0
33,466,854,3.0,0,55408,student,25.0
34,160,615,3.0,1,27705,educator,35.0
35,19,639,4.0,0,12065,librarian,35.0
36,591,699,2.0,1,96754,other,35.0
37,99,195,3.0,1,93555,scientist,35.0
38,302,676,5.0,1,32712,programmer,25.0
39,1028,279,4.0,1,85251,programmer,25.0
40,124,634,3.0,1,T8H1N,engineer,35.0
41,125,505,3.0,0,20657,other,25.0
42,7,617,3.0,0,11201,writer,25.0
43,98,666,4.0,1,61820,administrator,35.0
44,794,416,5.0,0,92626,student,18.0
45,927,655,3.0,0,60657,healthcare,50.0
46,248,293,3.0,1,60804,writer,18.0
47,136,350,5.0,1,97301,student,25.0
48,339,404,1.0,0,55108,programmer,25.0
49,96,28,5.0,1,55369,writer,25.0
50,268,428,4.0,1,55414,student,25.0
51,248,733,3.0,0,60630,other,35.0
52,275,354,4.0,0,48197,librarian,25.0
53,628,486,3.0,1,93101,educator,35.0
54,179,409,5.0,1,98225,administrator,45.0
55,240,582,4.0,1,93003,student,1.0
56,200,253,4.0,0,22903,librarian,25.0
57,516,354,5.0,0,48197,librarian,25.0
58,1009,663,3.0,1,19341,other,25.0
59,175,669,4.0,1,20009,other,35.0
60,70,535,4.0,0,80302,educator,45.0
61,183,560,5.0,1,10003,student,25.0
62,386,7,4.0,1,91344,administrator,56.0
63,321,223,1.0,0,47906,student,18.0
64,930,407,2.0,1,03261,engineer,25.0
65,125,109,5.0,1,55423,other,25.0
66,685,643,3.0,1,55122,scientist,35.0
67,70,585,5.0,1,98501,librarian,56.0
68,540,222,3.0,1,27502,programmer,25.0
69,147,624,4.0,1,30067,student,18.0
70,427,330,5.0,0,33884,educator,35.0
71,665,497,2.0,1,50112,student,18.0
72,659,664,5.0,1,94115,engineer,25.0
73,197,121,4.0,1,99603,librarian,50.0
74,253,758,5.0,1,53706,student,25.0
75,15,26,4.0,1,21044,engineer,45.0
76,268,113,4.0,1,95032,executive,45.0
77,435,684,3.0,1,55414,student,25.0
78,428,645,4.0,1,53211,programmer,25.0
79,476,318,4.0,1,06518,retired,56.0
80,872,783,4.0,1,77081,marketing,25.0
81,1265,440,5.0,1,48076,other,25.0
82,180,194,3.0,1,02154,administrator,35.0
83,23,76,5.0,1,02215,student,18.0
84,13,62,4.0,0,97214,administrator,25.0
85,471,943,5.0,1,77841,student,18.0
86,211,545,3.0,1,08052,technician,25.0
87,124,663,3.0,1,19341,other,25.0
88,297,139,5.0,1,08904,student,18.0
89,222,435,3.0,1,60007,engineer,18.0
90,67,417,4.0,0,48103,other,25.0
91,43,290,3.0,1,93550,engineer,35.0
92,252,939,3.0,0,33319,student,25.0
93,286,820,4.0,1,37725,student,18.0
94,724,297,3.0,0,98103,educator,25.0
95,273,442,4.0,1,85282,student,18.0
96,31,303,3.0,1,14853,student,18.0
97,245,832,3.0,1,77042,technician,18.0
98,596,330,5.0,0,33884,educator,35.0
99,1045,122,4.0,0,22206,writer,25.0
100,510,7,5.0,1,91344,administrator,56.0
101,588,128,5.0,0,20009,marketing,18.0
102,582,316,5.0,0,77009,other,35.0
103,1016,144,3.0,1,20910,programmer,50.0
104,233,773,1.0,1,55414,student,18.0
105,269,116,3.0,1,97232,healthcare,35.0
106,79,653,4.0,1,55105,executive,25.0
107,117,674,5.0,0,55337,student,1.0
108,208,653,3.0,1,55105,executive,25.0
109,744,139,5.0,1,08904,student,18.0
110,432,844,5.0,1,95662,engineer,18.0
111,1047,708,2.0,0,96349,homemaker,25.0
112,1473,655,3.0,0,60657,healthcare,50.0
113,746,940,3.0,1,02215,administrator,25.0
114,984,255,1.0,1,07029,entertainment,18.0
115,211,296,4.0,0,16803,administrator,35.0
116,763,336,3.0,1,42101,salesman,18.0
117,88,749,4.0,1,80919,other,25.0
118,269,147,4.0,0,02143,librarian,35.0
119,205,10,5.0,1,90703,lawyer,50.0
120,354,215,4.0,1,63033,programmer,35.0
121,1008,537,2.0,1,22902,engineer,35.0
122,1010,561,3.0,1,60005,engineer,18.0
123,91,303,5.0,1,14853,student,18.0
124,558,886,3.0,1,61820,student,18.0
125,954,568,2.0,1,01915,educator,35.0
126,268,204,3.0,0,10960,librarian,50.0
127,761,586,3.0,1,79508,student,18.0
128,278,654,3.0,0,78739,student,25.0
129,827,899,2.0,1,55116,other,25.0
130,875,836,1.0,1,10018,artist,35.0
131,672,268,2.0,1,19422,engineer,18.0
132,82,871,3.0,1,44648,executive,25.0
133,222,677,4.0,1,99835,other,18.0
134,988,603,4.0,1,47905,programmer,18.0
135,50,290,5.0,1,93550,engineer,35.0
136,152,41,4.0,1,80525,engineer,25.0
137,744,158,4.0,1,27606,educator,50.0
138,89,271,3.0,1,22932,engineer,50.0
139,281,269,1.0,0,43201,librarian,25.0
140,880,708,3.0,0,96349,homemaker,25.0
141,866,717,1.0,1,84105,technician,18.0
142,333,85,1.0,1,20003,educator,50.0
143,742,320,4.0,1,24060,student,18.0
144,436,290,2.0,1,93550,engineer,35.0
145,354,551,3.0,1,55414,programmer,25.0
146,512,561,4.0,1,60005,engineer,18.0
147,229,343,4.0,1,30093,engineer,35.0
148,614,311,4.0,1,73071,technician,25.0
149,728,389,3.0,0,83702,writer,35.0
150,173,450,5.0,0,11758,educator,35.0
151,62,671,5.0,1,91919,programmer,18.0
152,235,761,3.0,1,97302,student,1.0
153,369,246,3.0,1,28734,student,18.0
154,661,263,5.0,1,55346,programmer,35.0
155,895,618,3.0,0,44212,student,1.0
156,121,363,2.0,1,87501,student,18.0
